gallery;pop;artist;title;year;city;country;lifeExp
Pavilion of KiribATI;1;"Teeti Aaloa, Kaeriti Baanga, Temarewe Banaan, Kaeka Michael Betero, Kairaken Betio Group; Teroloang Borouea, Aanibo Bwatanita, Tokintekai Ekentetake, Katanuti Francis, Ioanna Francis, Kenneth Ioane, Terita Itinikarawa, Nimei Itinikarawa, Teuea Kabunare, Kaumai Kaoma, Tiribo Kobaua, Kaeua Kobaua, Teniteiti Mikaere, Runita Rabwaa, Rairauea Rue, Obeta Taia, Neneia Takoikoi, Tamuera Tebebe, Mikaere Tebwebwe, Einako Temewi, Daniela Danica Tepes, Arin Tikiraua, Tineta Timirau, Raatu Tiuteke, Aanamaria Toom";Pacific Time - Time Flies;2019;Venice;Italy;1
Pilar Corrias;1;Keren Cytter;OCEAN;2016;London;United Kingdom;2
Pro Choice;1;The Bus Wrap Book Show;" The Bus Wrap Book Show
";2010;Vienna;Austria;2
Public Fiction at Hammer Museum;1;Eric Wesley;Abstracted Plane in the Expanded Field, part of Made in LA 2014;2014;Los Angeles;United States of America;5
Rachel Uffner;1;Dora Budor, Elaine Cameron-Weir, Daniel Keller, Ajay Kurian;Flat Neighbors;2014;New York;United States of America;5
Reena Spaulings Fine Art;1;"
Ken Okiishi";A Model Childhood;2018;Los Angeles;United States of America;5
"San Juan del Sur; La Virgen; San Jose de los Remates";1;Kaoru Arima, Chelsea Culp, Margot Espinoza, Rob Halverson, Horseshoecrabs Horseshoecrabs, Donna Huanca, Jared Madere, Lulou Margarine, Puppies Puppies (Jade Kuriki Olivo), David Rappeneau, Mindy Rose Schwartz, Chloe Seibert, Dot Space, Lucie Stahl, Diamond Stingily, Martine Syms, Alison Veit;Rainbow;2015;"San Juan del Sur; La Virgen; San Jose de los Remates";Nicaragua;5
Schinkel Pavillon;1;Jack Goldstein;Sound Pieces;2010;Berlin;Germany;5
Secession;1;Dineo Seshee Bopape;Lerato le le golo (...la go hloka bo kantle);2022;Vienna;Austria;1
Shulamit Nazarian;1;"
Daniel Gibson";Valley of the Moon;2022;Los Angeles;United States of America;3
Simian;1;images;P' for Perspective;2022;Copenhagen;Denmark;3
Société;1;Jeanette Mundt;"""Ultra Beauty"" and ""Treating Objects Like Women""";2015;Berlin;Germany;3
sonneundsolche;1;Jens Axel Beck, Bonnie Camplin, Ester Fleckner, Jens Hüls Funder, Poul Gernes, Kasper Hesselbjerg, Bradley Kronz, Inge Lehmann, Sonja Ferlov Mancoba, Dagmar Moldovanu, Paul Pfeiffer, Lea Porsager, Tora Schultz, Michael E. Smith, Aia Sofia Coverley Turan, Mads Westrup, Amelie von Wulffen;Glücksspiel, Le jeu de l’amour et du hasard;2022;Düsseldorf;Germany;1
Sprüth Magers;1;"
Cyprien Gaillard";Reefs To Rigs;2020;Los Angeles;United States of America;1
STANDARD ;2;Ann Cathrin November Høibo, Anna Zacharoff;Two Sides, Please!;2023;Oslo;Norway;1
STANDARD ;2;"
Marius Engh";Eschscholzia California;2017;Oslo;Norway;1
Swiss Insitute;1;Ursula Biemann, Julius von Bismarckand Julian Charrière, Donna Harawayand Fabrizio Terranova, Andrew Norman Wilson;SI OFFSITE | OBJECTS IN MIRROR MIGHT BE CLOSER THAN THEY APPEAR;2018;New York;United States of America;1
Taka Ishii Gallery;1;"
Yuki Kimura";Reception;2019;Tokyo;Japan;1
Te Tuhi;2;Emerita Baik, Yuki Iiyama, Sione Tuívailala Monū, Shireen Seno, Christopher Ulutupu;The Inner Lives of Islands;2021;Auckland;New Zealand;1
Te Tuhi;2;Francis Alÿs, Graeme Atkins, Charlotte Graham, Ioane Ioane, Knitlab, Alex Monteith, Tuan Andrew Nguyen, Natalie Robertson, Kahurangiariki Smith, Aroha Yates-Smith;Moana Don’t Cry;2019;Auckland;United States of America;7
Team Gallery;1;Andreas Schulze;Vacanze 365;2017;New York;United States of America;7
The Art Gallery at the University of Hawai‘i at Mānoa;1;"
Ken Okiishi";Ken Okiishi: A Model Childhood;2021;Honolulu;United States of America;7
The Drawing Center;1;Agnes Barley, Jerome Marshak, Peter Matthews;Sea Marks: Selections Spring 2010;2010;New York;United States of America;7
The Modern Institute;1;"
Walter Price";Pearl Lines;2021;Glasgow;United Kingdom;7
The Wattis Institute;1;"
Yuki Kimura";Inhuman Transformation of New Year's Decoration, Obsolete Conception or 2;2017;San Francisco;United States of America;7
Tiwani Contemporary;1;"
Maren Hassinger";Passing Through;2019;London;United Kingdom;7
Tomio Koyama Gallery;1;Katherine Bradford;Night Swimmers;2022;Tokyo;Japan;1
Various Small Fires;1;Ashley Bickerton;Solo show;2021;Los Angeles;United States of America;
Venus Over Manhattan;1;"
Raymond Pettibon";Are Your Motives Pure?;2014;New York;United States of America;1
Wilde;1;Omar Ba;Sommation;2021;Basel;Swiss;2
XYZcollective;1;"
Veit Laurent Kurz";Circle of the Bee Ⅱ;2022;Tokyo;Japan;2
;;;;;;;1
